,Q_verhard,Q_dak,Q_verhard_mean_2,Q_verhard_mean_3,Q_verhard_mean_5,Q_verhard_mean_10,Q_verhard_mean_20,Q_verhard_mean_30,Q_dak_mean_2,Q_dak_mean_3,Q_dak_mean_5,Q_dak_mean_10,Q_dak_mean_20,Q_dak_mean_30,Q_verhard_shift_1,Q_verhard_shift_3,Q_verhard_shift_7,Q_dak_shift_1,Q_dak_shift_3,Q_dak_shift_7
2023-07-01 14:00:00,0.882333322366079,0.0,0.5626666567288341,0.39099999279197734,0.2912666602991522,0.18756666196820643,0.13038888557710585,0.13038888557710585,0.0,0.0,0.0,0.0,0.0,0.0,0.2429999910915893,0.1756666603187721,0.098999996483326,0.0,0.0,0.0
2023-07-01 15:00:00,0.2174999920651318,0.0,0.5499166572156053,0.4476111018409333,0.31323332615196714,0.20931666117471961,0.13583332973260748,0.13583332973260748,0.0,0.0,0.0,0.0,0.0,0.0,0.882333322366079,0.0476666649182637,0.056333331267039,0.0,0.0,0.0
2023-07-01 16:00:00,0.0373333320021629,0.0,0.12741666203364735,0.3790555488111245,0.2855666604886453,0.20091666148665058,0.1300392122190519,0.1300392122190519,0.0,0.0,0.0,0.0,0.0,0.0,0.2174999920651318,0.2429999910915893,0.1426666615530849,0.0,0.0,0.0
2023-07-01 17:00:00,0.1123333292702834,0.0,0.07483333063622315,0.12238888444585937,0.29849999335904925,0.2022499947653463,0.12905555205523142,0.12905555205523142,0.0,0.0,0.0,0.0,0.0,0.0,0.0373333320021629,0.882333322366079,0.1076666628010571,0.0,0.0,0.0
2023-07-01 18:00:00,0.2166666587193808,0.0,0.1644999939948321,0.12211110666394236,0.29323332688460757,0.21828332751058052,0.13366666293229193,0.13366666293229193,0.0,0.0,0.0,0.0,0.0,0.0,0.1123333292702834,0.2174999920651318,0.1756666603187721,0.0,0.0,0.0
2023-07-01 19:00:00,0.1169999957084656,0.0,0.1668333272139232,0.14866666123270994,0.1401666615530849,0.21571666092611858,0.1328333295711006,0.1328333295711006,0.0,0.0,0.0,0.0,0.0,0.0,0.2166666587193808,0.0373333320021629,0.0476666649182637,0.0,0.0,0.0
2023-07-01 20:00:00,0.2046666591738662,0.0,0.1608333274411659,0.17944443786723752,0.13759999497483177,0.22541666056339946,0.14306666252979391,0.13625396431408945,0.0,0.0,0.0,0.0,0.0,0.0,0.1169999957084656,0.1123333292702834,0.2429999910915893,0.0,0.0,0.0
2023-07-01 21:00:00,0.259999990463257,0.0,0.23233332481856162,0.19388888178186292,0.18213332666705062,0.23384999357784797,0.15606666205295677,0.14187878368450615,0.0,0.0,0.0,0.0,0.0,0.0,0.2046666591738662,0.2166666587193808,0.882333322366079,0.0,0.0,0.0
2023-07-01 22:00:00,0.2209999918937684,0.0,0.2404999911785127,0.22855554717696389,0.2038666591917476,0.25118332627539847,0.1671166616476452,0.14531883621534364,0.0,0.0,0.0,0.0,0.0,0.0,0.259999990463257,0.1169999957084656,0.2174999920651318,0.0,0.0,0.0
2023-07-01 23:00:00,0.112666662534078,0.0,0.1668333272139232,0.1978888816303678,0.18306665995468704,0.2381499934196473,0.17209999479819096,0.14395832897862423,0.0,0.0,0.0,0.0,0.0,0.0,0.2209999918937684,0.2046666591738662,0.0373333320021629,0.0,0.0,0.0
2023-07-02 00:00:00,0.0704999974618355,0.0,0.09158332999795675,0.13472221729656064,0.173766660305361,0.15696666092922298,0.1722666614487147,0.1410199957179527,0.0,0.0,0.0,0.0,0.0,0.0,0.112666662534078,0.259999990463257,0.1123333292702834,0.0,0.0,0.0
2023-07-02 01:00:00,0.0693333307902018,0.0,0.06991666412601866,0.08416666359537177,0.14669999462862815,0.14214999480173,0.17573332798822477,0.13826281629765458,0.0,0.0,0.0,0.0,0.0,0.0,0.0704999974618355,0.2209999918937684,0.2166666587193808,0.0,0.0,0.0
2023-07-02 02:00:00,0.1014999963343144,0.0,0.0854166635622581,0.0804444415287839,0.11499999580283962,0.14856666123494514,0.17474166136079783,0.13690123037308644,0.0,0.0,0.0,0.0,0.0,0.0,0.0693333307902018,0.112666662534078,0.1169999957084656,0.0,0.0,0.0
2023-07-02 03:00:00,0.021666665871938,0.0,0.0615833311031262,0.0641666643321514,0.07513333059847355,0.13949999489511059,0.17087499483022844,0.13278571021233113,0.0,0.0,0.0,0.0,0.0,0.0,0.1014999963343144,0.0704999974618355,0.2046666591738662,0.0,0.0,0.0
2023-07-02 04:00:00,0.1708333271245162,0.0,0.0962499964982271,0.09799999644358953,0.08676666351656118,0.13491666173562414,0.1765999946231023,0.13409769700240648,0.0,0.0,0.0,0.0,0.0,0.0,0.021666665871938,0.0693333307902018,0.259999990463257,0.0,0.0,0.0
2023-07-02 05:00:00,0.0909999966621399,0.0,0.13091666189332807,0.09449999655286472,0.09086666335662207,0.13231666183099156,0.17401666137855504,0.13266110699106426,0.0,0.0,0.0,0.0,0.0,0.0,0.1708333271245162,0.1014999963343144,0.2209999918937684,0.0,0.0,0.0
2023-07-02 06:00:00,0.2556666572888694,0.0,0.17333332697550466,0.17249999369184185,0.12813332865635557,0.13741666164249186,0.18141666110294566,0.14118332890069324,0.0,0.0,0.0,0.0,0.0,0.0,0.0909999966621399,0.021666665871938,0.112666662534078,0.0,0.0,0.0
2023-07-02 07:00:00,0.1686666605373225,0.0,0.21216665891309594,0.1717777714961106,0.1415666614969572,0.12828332864989841,0.18106666111387318,0.146805550918604,0.0,0.0,0.0,0.0,0.0,0.0,0.2556666572888694,0.1708333271245162,0.0704999974618355,0.0,0.0,0.0
