,Q_verhard,Q_dak,Q_verhard_mean_2,Q_verhard_mean_3,Q_verhard_mean_5,Q_verhard_mean_10,Q_verhard_mean_20,Q_verhard_mean_30,Q_dak_mean_2,Q_dak_mean_3,Q_dak_mean_5,Q_dak_mean_10,Q_dak_mean_20,Q_dak_mean_30,Q_verhard_shift_1,Q_verhard_shift_3,Q_verhard_shift_7,Q_dak_shift_1,Q_dak_shift_3,Q_dak_shift_7
2023-07-01 14:00:00,0.004728896898212334,-0.24631676905238023,-0.08371106303855093,-0.14728206018844156,-0.2058120655723881,-0.3069794670574665,-0.4376327022791912,-0.522920708452591,-0.281700937873294,-0.3104131748119443,-0.35480089925425645,-0.44061206273772063,-0.5644784448774104,-0.6623358959666108,-0.14642957984150068,-0.16234380396480239,-0.18213301398335682,-0.24631676905238023,-0.2463167690523802,-0.24716777690122999
2023-07-01 15:00:00,-0.1524635837638678,-0.24631676905238023,-0.08727286364908103,-0.1295911623886456,-0.19789535620075613,-0.2971971165532507,-0.4344799324050457,-0.5192074838597628,-0.281700937873294,-0.3104131748119443,-0.35480089925425645,-0.44061206273772063,-0.5644784448774104,-0.6623358959666108,0.0047335543764981565,-0.19260792086229556,-0.1921690176477353,-0.24631676905238023,-0.2463167690523802,-0.24716777690122999
2023-07-01 16:00:00,-0.1950619959329447,-0.24631676905238023,-0.20530116155032382,-0.1510146833659511,-0.20786632552337464,-0.30097512778,-0.4378351912013982,-0.5231591929838852,-0.281700937873294,-0.3104131748119443,-0.35480089925425645,-0.44061206273772063,-0.5644784448774104,-0.6623358959666108,-0.15245876616236884,-0.14642361750518615,-0.1718617915095648,-0.24631676905238023,-0.2463167690523802,-0.24716777690122999
2023-07-01 17:00:00,-0.177329076894592,-0.24631676905238023,-0.21999067912095024,-0.23122268148119343,-0.20320519769325188,-0.30037544346059863,-0.4384048093373022,-0.523830069754215,-0.281700937873294,-0.3104131748119443,-0.35480089925425645,-0.44061206273772063,-0.5644784448774104,-0.6623358959666108,-0.19505713493881907,0.0047393463184674306,-0.18009445075180874,-0.24631676905238023,-0.2463167690523802,-0.24716777690122999
2023-07-01 18:00:00,-0.15266061620774019,-0.24631676905238023,-0.19494167610228164,-0.23130948667603066,-0.2051032858289227,-0.29316423948880116,-0.4357346062744513,-0.520685195857096,-0.281700937873294,-0.3104131748119443,-0.35480089925425645,-0.44061206273772063,-0.5644784448774104,-0.6623358959666108,-0.17732423396400201,-0.15245279702982548,-0.1640995699518674,-0.24631676905238023,-0.2463167690523802,-0.24716777690122999
2023-07-01 19:00:00,-0.17622569527937082,-0.24631676905238023,-0.19428984331784066,-0.2230109104816179,-0.2602679754561036,-0.29431863181398094,-0.4362171731336649,-0.5212535466092427,-0.281700937873294,-0.3104131748119443,-0.35480089925425645,-0.44061206273772063,-0.5644784448774104,-0.6623358959666108,-0.1526557984055353,-0.19505111778847564,-0.1942075808865856,-0.24631676905238023,-0.2463167690523802,-0.24716777690122999
2023-07-01 20:00:00,-0.15549788324976624,-0.24631676905238023,-0.19596598478212965,-0.2133928953942343,-0.26119299309373967,-0.2899559283746984,-0.4302912525175693,-0.5189206022924361,-0.281700937873294,-0.3104131748119443,-0.35480089925425645,-0.44061206273772063,-0.5644784448774104,-0.6623358959666108,-0.17622085347273414,-0.17731823680256703,-0.14826150173291394,-0.24631676905238023,-0.2463167690523802,-0.24716777690122999
2023-07-01 21:00:00,-0.1424149296548573,-0.24631676905238023,-0.1759919656421699,-0.20887902549552695,-0.2451433364585426,-0.2861629250424774,-0.42276321004162287,-0.5150843580368417,-0.281700937873294,-0.3104131748119443,-0.35480089925425645,-0.44061206273772063,-0.5644784448774104,-0.6623358959666108,-0.15549306255739562,-0.15264982905089294,0.0021217453032473382,-0.24631676905238023,-0.2463167690523802,-0.24716777690122999
2023-07-01 22:00:00,-0.1516360475524519,-0.24631676905238023,-0.17371055087060938,-0.19804573773862927,-0.23731071960044006,-0.27836702885675035,-0.4163643739370685,-0.5127381703832833,-0.281700937873294,-0.3104131748119443,-0.35480089925425645,-0.44061206273772063,-0.5644784448774104,-0.6623358959666108,-0.1424101222893619,-0.17621485755505342,-0.15425958202285148,-0.24631676905238023,-0.2463167690523802,-0.24716777690122999
2023-07-01 23:00:00,-0.17725026393465912,-0.24631676905238023,-0.19428984331784066,-0.20762903075583894,-0.2448069664133753,-0.2842289431043099,-0.413478624321289,-0.5136660647258127,-0.281700937873294,-0.3104131748119443,-0.35480089925425645,-0.44061206273772063,-0.5644784448774104,-0.6623358959666108,-0.15163123079391796,-0.1554870900045279,-0.19663817550853516,-0.24631676905238023,-0.2463167690523802,-0.24716777690122999
2023-07-02 00:00:00,-0.18722010506905667,-0.24631676905238023,-0.21531145086756082,-0.2273685310386727,-0.24815865368687012,-0.32074222321899604,-0.4133821109620207,-0.5156700693613318,-0.281700937873294,-0.3104131748119443,-0.35480089925425645,-0.44061206273772063,-0.5644784448774104,-0.6623358959666108,-0.17724542108435148,-0.1424041644838666,-0.17899676286014504,-0.24631676905238023,-0.2463167690523802,-0.24716777690122999
2023-07-02 01:00:00,-0.187495950487542,-0.24631676905238023,-0.2213641839402759,-0.24316707568414847,-0.2579133851175558,-0.32740621524892094,-0.41137463296843507,-0.5175505232952647,-0.281700937873294,-0.3104131748119443,-0.35480089925425645,-0.44061206273772063,-0.5644784448774104,-0.6623358959666108,-0.1872152520630279,-0.1516252625941903,-0.15445559772900547,-0.24631676905238023,-0.2463167690523802,-0.24716777690122999
2023-07-02 02:00:00,-0.17989049853281272,-0.24631676905238023,-0.21703415181769165,-0.2443302652289992,-0.2693379535735231,-0.3245202344485377,-0.41194888748897923,-0.5184791533254296,-0.281700937873294,-0.3104131748119443,-0.35480089925425645,-0.44061206273772063,-0.5644784448774104,-0.6623358959666108,-0.18749109720052493,-0.17723942401175607,-0.17789907497578347,-0.24631676905238023,-0.2463167690523802,-0.24716777690122999
2023-07-02 03:00:00,-0.19876620569571318,-0.24631676905238023,-0.22369215819767824,-0.24941704938905598,-0.2837057599649822,-0.32859808784057265,-0.41418799756206676,-0.521286024006205,-0.281700937873294,-0.3104131748119443,-0.35480089925425645,-0.44061206273772063,-0.5644784448774104,-0.6623358959666108,-0.17988565299304538,-0.18720924375222395,-0.15727822374865869,-0.24631676905238023,-0.2463167690523802,-0.24716777690122999
2023-07-02 04:00:00,-0.16349740004820013,-0.24631676905238023,-0.21400778528133413,-0.23884417719726758,-0.2795131475606679,-0.33065950269479777,-0.41087276347003865,-0.5203912216213831,-0.281700937873294,-0.3104131748119443,-0.35480089925425645,-0.44061206273772063,-0.5644784448774104,-0.6623358959666108,-0.19876134092831566,-0.1874850885787824,-0.14426278153475414,-0.24631676905238023,-0.2463167690523802,-0.24716777690122999
2023-07-02 05:00:00,-0.18237310721110056,-0.24631676905238023,-0.20432341236499002,-0.23993792260177052,-0.2780355219904069,-0.33182888712265685,-0.41236872063217744,-0.5213710060047965,-0.281700937873294,-0.3104131748119443,-0.35480089925425645,-0.44061206273772063,-0.5644784448774104,-0.6623358959666108,-0.1634925712071679,-0.1798796529443236,-0.15343631610958033,-0.24631676905238023,-0.2463167690523802,-0.24716777690122999
2023-07-02 06:00:00,-0.1434394983101456,-0.24631676905238023,-0.19247402339602612,-0.21556302514875075,-0.2646047464505646,-0.3295350945917316,-0.4080835272252125,-0.5155586727203424,-0.281700937873294,-0.3104131748119443,-0.35480089925425645,-0.44061206273772063,-0.5644784448774104,-0.6623358959666108,-0.1823682591424382,-0.19875531960251133,-0.1789183565952086,-0.24631676905238023,-0.2463167690523802,-0.24716777690122999
2023-07-02 07:00:00,-0.16400968437584426,-0.24631676905238023,-0.18162566334230842,-0.21578871864368607,-0.2597634203838773,-0.3336429321947101,-0.40828620529297893,-0.5117241999133892,-0.281700937873294,-0.3104131748119443,-0.35480089925425645,-0.44061206273772063,-0.5644784448774104,-0.6623358959666108,-0.1434346899009792,-0.1634865896370815,-0.18883675080376525,-0.24631676905238023,-0.2463167690523802,-0.24716777690122999
2023-07-02 08:00:00,-0.1599114097546911,-0.24631676905238023,-0.191356595735822,-0.20589292693670383,-0.24791838935802493,-0.33521710353732725,-0.40428090064065575,-0.5074956706125747,-0.281700937873294,-0.3104131748119443,-0.35480089925425645,-0.44061206273772063,-0.5644784448774104,-0.6623358959666108,-0.16400485501297657,-0.18236225629526923,-0.18911117278945994,-0.24631676905238023,-0.2463167690523802,-0.24716777690122999
